Name,Current Company/Employer,Past Companies,Description,Key Areas of Interest/Expertise,In what capacity do you want to help out?,Advisor Location.,Berkeley SkyDeck or Milano,id
Sal Ismail,Mount Parker Ventures,"Bluebridge, Lehman Brothers, Petfoo","Founded options market maker @ Bluebridge, Equity derivatives trader @ Lehman Brothers, Co-founded e-commerce marketplace @ Petfoo, General Partner @ Mount Parker Ventures, Early Crypto trader (Mt. Gox 2011) and DeFi user",Fintech and Crypto,Mentor,Europe,"SkyDeck Europe, Milano",rec06zNErKZZ389vz
Ed Dua,IASV Seed Ventures,"Young & Rubican, Prudential Investment Banking, Dominion Ventures, Nextsport, ","Broad background. Ten years of coding (tools), ran two startups: educational software & Sporting Goods manufacturing, over 200 companies invested as an Angel. LP in several funds. Portfolio: https://tinyurl.com/4kbs44ha","Deep tech, therapeutics, Fintech",Mentor,USA/Canada,Berkeley Skydeck,rec092p0UANNARfZL
Tuan Dinh,Cogitativo - founder,"Archimedes, Evidera","A seasoned investor and entrepreneur with a successful track record in product development, fund-raising, and operations. Co- founded and served as a board member, advisor, and executive for 20 startups in fintech, drug development, healthcare, AI, and clean tech, including four in leadership roles. An executive with C-level operation experience leading innovations and product launch initiatives within government, corporate and startup environments. Successfully delivered AI/ML services and applications to over 100 clients, including Fortune 500 companies, federal agencies (Veteran Health Administration (VHA) and Human Health Services (HHS)), and large national/regional nonprofits. Recognized as a strong team builder, mentor and communicator, and credited with building world-class data science, data engineering, and product development teams from the ground up multiple times.","AI, biotech, fintech, drug development, chem tech",Advisor,USA/Canada,Berkeley Skydeck,rec09mFLRloCiEJzm
John Mack,Aptos Partners,"AWS, Accenture, Deloitte, EY-Parthenon, Honeywell, Morgan Stanley, US Army","Blend of GTM (Marketing, Sales, Channel), management consulting (corporate strategy, GTM strategy and operations, operational excellence, M&A), and supply chain operations/finance","enterprise software (AI/ML, Data & Analytics, IoT/edge, 5G+ telco)",Advisor,USA/Canada,Berkeley Skydeck,rec0IGAIn9mWLomdo
Jamie Lee,Stripes,"Vital Proteins, Everlane, Nike, Walmart, Sony, EA","Jamie is an eCommerce exec with 14+ years of experience of driving digital & omnichannel growth across established brands (Nike, Walmart, EA, & Sony) and growth brands (Vital Proteins, Everlane). Notable highlights: She was on the founding team of Walmart's Online Grocery service, scaling from markets 1 to 1000+; as GM, built Nike's new Global Apparel eCommerce org & team from scratch and launched new product lines (maternity, yoga, Hijab); and as VP of Digital led Vital Protein's eCom team to profitable growth (team building, channel development via DTC & Amazon) that completed a full Nestle acquisition.    She has spoken at conferences such as eTail (West & East flagship events) on digital growth, acquisition, and profitability; and was a keynote speaker at signature events at her alma matters, UC Berkeley (MBA) and University of Southern California (Bachelors) and at UC Dublin. She has also recently been named 30 Most Influential (eCommerce) in '22 and Top Women in Retail on the Rise in '21.","eCommerce, Retail, Growth, Product Management, Channel Development, Hiring & Org Building",Advisor,USA/Canada,Berkeley Skydeck,rec0NzoEQ5I6NyqLp
James E. Mister,"Ministry of Economic Affairs & Energy, German State of Bavaria (Consul for Tech, Digitalization and Energy in the US West)","Siemens, ILF Consulting Engineering, various startups and think tanks","I am a product and growth focused advisor in the areas of clean energy, climate, and mobility. I bring over a dozen years of experience on both sides of the Atlantic and have worked on highly technical EMEA/DACH and US market expansions of unicorn, decacorns, etc. across energy, automotive, aerospace and aviation, cybersecurity, etc. My work has been featured in Inc., Forbes, TechCrunch, TEDx, BMW, and McKinsey & Co. I am currently a US Dept of Justice registered foreign agent and besides being bilingual (German), also speak Spanish, Dutch, Mandarin, Italian, and French.","Clean Energy, Climate Tech, Mobility, Logistics, EV & FCEV Infrastructure, Urban Air Mobility, Hydrogen (H2)  Economy",Advisor,USA/Canada,"SkyDeck Europe, Milano",rec0R6DSxyGySREhH
Hamlet Azarian,Azarian Growth Agency,"I have been working with early-stage startups for over 12 years. Here are some of the companies that we have helped: DISQO (Growth Marketing, Growth Product), Camino Financial (Founding Team, developed GTM Strategy), Bauer Xcel Media (SEO Strategist), Babylist (SEO Strategist),  RedTricyle (SEO Strategist) ... In total, we have partnered with over 30+ startups at one point in there journey. ","Hamlet Azarian is a lifelong learner focused on growth. He's spent his career growing international B2C/B2B businesses across various industries, specializing in venture-backed startups that range from pre-seed to early-stage (Series A-B).  Hamlet's passion for helping businesses discover their full growth potential led him to become the Founder and CEO of AGA – a data-driven, full-funnel growth agency that has helped raise over $250M in funding for some of the most innovative companies in the tech/SaaS space.   Hamlet has over 20 years of experience designing tailor-made growth engines for businesses, combining creative + analytical methods to deliver proven, repeatable results. Significant growth starts with a growth mindset and is executed through rapid experimentation, always using data to drive the path forward.   Over the years, he's helped clients dominate the digital landscape through high-performing, consumer-centric marketing strategies that utilize cutting-edge growth tactics.  He's currently growing his team and expanding his suite of services to provide even more value to the clients he works with, truly investing himself in the long-term success of their business.   Hamlet currently lives in Southern California with his beautiful family and enjoys spending time with his son Sebastian and daughter Geneva.","Developing early stage go-to-market strategies for startups, customer discovery and validation, high-tempo experimentation, developing customer personas, data-driven prioritization and execution",Advisor,USA/Canada,Berkeley Skydeck,rec0WTKZhvrwSCcQv
Eric Stein,Branch,"DoubleClick, Google, Epsilon","Go To Market specialist, understand sales strategy, product strategy and how to build teams.",Helping companies scale and go to market.,Mentor,USA/Canada,"SkyDeck Europe, Milano",rec0asnYJrBn1GUcA
Tanu Mutreja,Salesforce,"AWS, Microsoft, Sun Microsystems, Netscape and NewsTakes (KRDL funded startup in Singapore)","Product leader with experience building some of the most complex and successful software products. I have spent my career working for large organizations, including AWS, Microsoft, Salesforce, Sun Microsystems and Netscape. I have expertise in creating vision and product roadmaps, and strategies for pricing, monetization, go-to-market and growth. I have led technical designs and software development, and built platforms and partner ecosystems.","Product Management, Vision & Strategy, Monetization, Pricing, and Growth",Advisor,USA/Canada,Berkeley Skydeck,rec0pYjOIVrHwO6sJ
Rohit Mittal ,Google,Google intel Marvell ,"Accomplished executive with expertise in systems and silicon | 2x Founder | 1x intrapreneur. Track record of increased responsibility to senior leadership positions in multiple roles (product development, product management, strategy & partnerships). Influenced products with >$8B revenue over lifetime. Experience of building and leading high performance organizations. ",Ai. Systems. Silicon. Hpc. Compute. ,Mentor,USA/Canada,Berkeley Skydeck,rec0qctveur1fOQkf
